ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
10,1018.4,1021.6,21.4,17.9,80,2.8,20,6.8,40,0.0,0.0,0.8,1.28,...,2,...
11,1017.8,1021.0,22.5,17.9,75,3.0,30,6.6,30,0.0,0.0,1.0,1.80,2.0,3,0.0
12,1016.7,1019.8,24.1,18.5,71,1.1,360,5.2,20,0.0,0.0,1.0,2.08,...,4,...
13,1015.8,1018.9,25.1,18.6,67,2.2,350,4.3,330,0.0,0.0,1.0,2.06,...,4,...
14,1015.3,1018.4,24.7,18.7,69,3.8,350,7.6,320,0.0,0.0,1.0,1.84,3.0,3,2.0
15,1014.8,1017.9,23.6,18.3,72,4.4,360,7.5,360,0.0,0.0,0.8,1.31,...,2,...
16,1014.7,1017.8,23.2,17.9,72,3.0,10,6.8,20,0.0,0.0,1.0,0.92,...,1,...
17,1014.8,1018.0,22.2,17.5,75,4.4,20,7.0,20,0.0,0.0,0.6,0.33,5.0,0,0.0
18,1015.3,1018.5,21.3,17.2,77,3.5,20,6.6,20,0.0,0.0,0.0,0.00,...,0,...
19,1015.8,1019.0,20.8,17.0,79,3.5,20,5.6,10,0.0,0.0,0.0,0.00,...,0,...
20,1016.2,1019.4,20.2,16.9,81,3.6,20,7.0,20,0.0,0.0,...,0.00,3.0,0,0.0
21,1016.5,1019.7,19.7,16.8,83,4.5,20,6.6,30,0.0,0.0,...,0.00,3.0,0,0.0
22,1016.7,1019.9,19.6,17.0,85,2.2,30,5.7,30,0.0,0.0,...,0.00,...,0,...
23,1016.6,1019.8,19.3,17.1,87,2.3,30,4.2,30,0.0,0.0,...,0.00,2.2,0,0.0
24,1016.5,1019.7,19.1,17.1,88,2.2,30,3.8,40,0.0,0.0,...,0.00,...,0,...
01,1016.4,1019.6,19.0,17.1,89,1.5,20,2.4,360,0.0,0.0,...,0.00,...,0,...
02,1016.4,1019.6,18.8,17.0,89,1.4,340,2.3,340,0.0,0.0,...,0.00,2.0,0,6.0
03,1016.1,1019.3,18.4,17.3,93,2.1,350,4.3,360,0.0,0.0,...,0.00,...,0,...
04,1016.0,1019.2,18.7,17.3,92,2.3,30,4.0,30,0.0,0.0,...,0.00,...,0,...
05,1016.0,1019.2,18.9,17.6,92,1.6,50,4.5,40,0.0,0.0,...,0.00,0.8,0,10.0
06,1016.2,1019.4,18.7,17.5,93,1.3,60,4.1,70,0.0,0.0,0.0,0.00,...,0,...
07,1016.7,1019.9,18.2,17.3,94,0.3,150,3.8,50,0.0,0.0,0.0,0.00,...,0,...
08,1017.2,1020.4,18.6,17.6,94,1.2,210,2.1,210,0.0,0.0,0.0,0.00,0.6,0,10.0
09,1017.6,1020.8,19.0,17.8,93,0.1,0,2.0,210,0.0,0.0,0.0,0.54,1.0,1,10.0
10,1017.7,1020.9,20.6,18.2,86,1.3,60,2.9,70,0.0,0.0,0.0,0.73,...,1,...
11,1017.1,1020.3,21.0,18.1,84,1.8,40,5.0,20,0.0,0.0,0.4,1.60,1.8,3,2.0
12,1015.8,1018.9,23.9,19.1,75,1.1,40,5.3,20,0.0,0.0,1.0,2.08,...,4,...
13,1014.7,1017.8,26.2,18.9,64,1.6,180,3.9,170,0.0,0.0,1.0,2.30,...,4,...
14,1014.3,1017.4,24.7,18.5,68,3.0,280,5.5,280,0.0,0.0,1.0,2.03,2.5,4,3.0
15,1014.1,1017.2,23.9,19.2,75,2.7,310,5.9,330,0.0,0.0,1.0,1.46,...,2,...
16,1014.3,1017.4,23.7,18.7,74,3.6,320,5.4,320,0.0,0.0,1.0,0.94,...,1,...
17,1014.8,1017.9,22.8,18.4,76,2.1,340,5.6,320,0.0,0.0,0.9,0.36,2.5,0,0.0
18,1015.2,1018.4,22.0,18.1,79,2.9,330,4.6,330,0.0,0.0,0.0,0.00,...,0,...
19,1015.7,1018.9,21.3,17.3,78,2.8,20,5.0,20,0.0,0.0,0.0,0.00,...,0,...
20,1016.1,1019.3,20.8,17.2,80,2.5,20,4.8,20,0.0,0.0,...,0.00,2.0,0,0.0
21,1016.3,1019.5,20.6,17.2,81,1.6,20,3.3,30,0.0,0.0,...,0.00,2.0,0,0.0
22,1016.2,1019.4,20.3,17.2,82,1.8,20,2.9,30,0.0,0.0,...,0.00,...,0,...
23,1015.9,1019.1,20.1,17.2,83,2.0,20,3.8,10,0.0,0.0,...,0.00,2.0,0,0.0
24,1015.7,1018.9,19.7,17.2,85,2.6,30,4.2,30,0.0,0.0,...,0.00,...,0,...
01,1015.5,1018.7,19.5,17.2,87,1.6,30,3.9,30,0.0,0.0,...,0.00,...,0,...
02,1015.2,1018.4,19.4,17.1,87,1.6,20,2.6,20,0.0,0.0,...,0.00,1.5,0,0.0
03,1015.0,1018.2,19.1,17.2,89,1.6,30,2.7,40,0.0,0.0,...,0.00,...,0,...
04,1014.9,1018.1,19.5,17.4,88,2.0,360,3.3,20,0.0,0.0,...,0.00,...,0,...
05,1015.2,1018.4,19.5,17.2,87,1.8,10,3.2,360,0.0,0.0,...,0.00,1.2,0,8.0
06,1015.5,1018.7,19.0,17.0,88,2.4,20,5.0,20,0.0,0.0,0.0,0.00,...,0,...
07,1015.7,1018.9,19.0,17.1,89,1.9,30,4.5,10,0.0,0.0,0.0,0.00,...,0,...
08,1016.3,1019.5,19.6,17.8,89,1.1,30,3.4,10,0.0,0.0,0.1,0.22,2.0,0,0.0
09,1016.8,1020.0,21.1,18.7,86,0.7,30,2.9,30,0.0,0.0,1.0,0.79,3.0,1,0.0
10,1016.7,1019.8,23.1,19.5,80,0.6,20,2.3,20,0.0,0.0,1.0,1.38,...,2,...
11,1015.8,1018.9,24.1,19.0,73,0.5,340,3.1,320,0.0,0.0,0.4,1.18,4.0,3,4.0
12,1014.9,1018.0,24.3,18.2,69,1.5,350,3.5,320,0.0,0.0,0.4,1.38,...,3,...
13,1013.6,1016.7,25.6,18.2,64,1.4,310,4.0,330,0.0,0.0,0.7,1.76,...,4,...
14,1013.1,1016.2,24.8,19.3,72,4.2,320,6.0,330,0.0,0.0,0.9,1.85,4.0,3,3.0
15,1013.0,1016.1,24.5,19.2,72,3.5,340,6.7,300,0.0,0.0,1.0,1.59,...,2,...
16,1013.0,1016.1,23.9,18.5,72,3.7,340,6.4,340,0.0,0.0,1.0,0.98,...,1,...
17,1013.6,1016.7,22.8,17.8,73,3.6,330,6.8,350,0.0,0.0,0.4,0.39,5.0,0,1.0
18,1014.0,1017.2,21.6,17.5,78,2.6,20,7.2,30,0.0,0.0,0.0,0.00,...,0,...
19,1014.5,1017.7,20.9,17.6,81,3.8,20,6.3,20,0.0,0.0,0.0,0.00,...,0,...
20,1014.8,1018.0,20.5,18.0,86,3.3,10,6.2,10,0.0,0.0,...,0.00,3.0,0,4.0
21,1014.7,1017.9,20.2,17.6,85,2.9,20,5.3,20,0.0,0.0,...,0.00,2.0,0,0.0
22,1014.8,1018.0,19.8,17.6,87,2.1,340,4.9,10,0.0,0.0,...,0.00,...,0,...
23,1014.7,1017.9,19.7,17.5,87,2.5,20,4.6,330,0.0,0.0,...,0.00,1.5,0,5.0
24,1014.6,1017.8,19.3,17.3,88,2.2,20,4.8,30,0.0,0.0,...,0.00,...,0,...
01,1014.5,1017.7,18.9,17.3,90,0.8,50,3.2,40,0.0,0.0,...,0.00,...,0,...
02,1014.2,1017.4,19.2,17.3,89,0.3,30,1.8,30,0.0,0.0,...,0.00,1.2,0,2.0
03,1014.1,1017.3,18.8,17.1,90,1.8,70,2.5,60,0.0,0.0,...,0.00,...,0,...
04,1013.8,1017.0,18.9,17.2,90,0.8,90,2.9,80,0.0,0.0,...,0.00,...,0,...
05,1013.8,1017.0,18.9,17.2,90,1.5,70,2.2,90,0.0,0.0,...,0.00,1.2,0,1.0
06,1014.0,1017.2,18.8,17.0,89,0.4,30,2.2,80,0.0,0.0,0.0,0.00,...,0,...
07,1014.4,1017.6,19.1,17.1,88,0.6,70,1.6,30,0.0,0.0,0.0,0.00,...,0,...
08,1014.7,1017.9,20.0,17.9,88,0.4,50,2.4,50,0.0,0.0,0.4,0.26,2.0,0,0.0
09,1015.1,1018.3,22.0,18.8,82,0.3,360,2.4,20,0.0,0.0,1.0,0.85,4.0,1,0.0
10,1015.2,1018.3,23.4,19.1,77,2.5,360,4.8,40,0.0,0.0,1.0,1.44,...,2,...
11,1014.8,1017.9,24.1,18.7,72,3.4,360,6.3,10,0.0,0.0,0.8,1.68,6.0,3,6.0
12,1013.9,1017.0,24.0,18.4,71,3.7,360,7.1,20,0.0,0.0,0.0,1.16,...,3,...
13,1012.9,1016.0,24.6,18.4,68,4.0,360,7.4,360,0.0,0.0,0.1,1.20,...,3,...
14,1012.1,1015.2,25.0,18.3,66,3.4,340,6.8,10,0.0,0.0,0.7,1.70,8.0,3,5.0
15,1011.4,1014.5,25.2,17.9,64,3.0,10,6.9,350,0.0,0.0,0.8,1.40,...,2,...
16,1011.5,1014.6,24.8,17.1,62,4.0,350,6.9,30,0.0,0.0,1.0,1.02,...,1,...
17,1012.1,1015.2,23.7,16.9,66,3.2,350,7.7,360,0.0,0.0,1.0,0.43,10.0,0,1.0
18,1012.7,1015.9,21.8,17.5,77,5.1,360,8.6,360,0.0,0.0,0.0,0.00,...,0,...
19,1013.2,1016.4,21.3,17.6,79,4.2,20,8.3,20,0.0,0.0,0.0,0.00,...,0,...
20,1013.8,1017.0,20.9,17.7,82,4.1,20,7.7,30,0.0,0.0,...,0.00,7.0,0,0.0
21,1014.3,1017.5,20.3,17.4,83,3.5,10,6.5,360,0.0,0.0,...,0.00,1.5,0,1.0
22,1014.6,1017.8,19.8,17.2,85,3.1,20,6.8,10,0.0,0.0,...,0.00,...,0,...
23,1014.3,1017.5,19.3,17.0,87,3.2,20,7.1,10,0.0,0.0,...,0.00,1.2,0,1.0
24,1013.8,1017.0,19.1,16.8,87,3.4,30,6.1,40,0.0,0.0,...,0.00,...,0,...
01,1013.8,1017.0,19.0,16.9,88,2.7,30,4.8,50,0.0,0.0,...,0.00,...,0,...
02,1013.5,1016.7,19.1,17.0,88,0.6,80,4.0,50,0.0,0.0,...,0.00,1.2,0,0.0
03,1013.1,1016.3,19.1,17.0,88,1.1,30,1.8,30,0.0,0.0,...,0.00,...,0,...
04,1012.9,1016.1,19.1,16.9,87,1.4,20,1.8,20,0.0,0.0,...,0.00,...,0,...
05,1013.2,1016.4,18.6,16.7,89,1.6,20,2.7,30,0.0,0.0,...,0.00,1.0,0,0.0
06,1013.3,1016.5,18.5,16.6,89,2.4,30,3.8,50,0.0,0.0,0.0,0.00,...,0,...
07,1013.8,1017.0,18.0,16.7,92,2.0,40,5.5,30,0.0,0.0,0.0,0.00,...,0,...
08,1014.0,1017.2,18.0,16.9,93,2.8,30,5.6,30,0.0,0.0,0.0,0.01,0.7,0,10.0
09,1014.6,1017.8,18.9,17.4,91,2.7,30,6.2,360,0.0,0.0,0.0,0.60,0.7,1,10.0
10,1014.1,1017.3,19.7,17.7,88,3.1,30,5.9,60,0.0,0.0,0.3,1.23,...,2,...
11,1013.5,1016.6,22.2,18.2,78,3.2,20,6.3,30,0.0,0.0,1.0,1.85,1.0,4,0.0
12,1012.6,1015.7,22.9,18.3,75,3.6,10,7.2,30,0.0,0.0,1.0,2.39,...,4,...
13,1011.6,1014.7,24.8,18.8,69,2.8,10,5.7,10,0.0,0.0,1.0,2.23,...,4,...
14,1010.9,1014.0,25.7,18.0,62,2.4,360,5.8,10,0.0,0.0,1.0,1.88,3.0,4,0.0
15,1010.4,1013.5,25.2,18.8,68,3.5,360,8.0,360,0.0,0.0,1.0,1.60,...,2,...
16,1010.7,1013.8,24.2,18.3,70,3.5,360,7.5,340,0.0,0.0,1.0,1.02,...,1,...
17,1011.3,1014.4,22.0,17.5,76,4.4,10,8.3,350,0.0,0.0,0.6,0.37,4.0,0,5.0
18,1011.5,1014.7,21.4,17.0,76,4.0,10,8.0,360,0.0,0.0,0.0,0.00,...,0,...
19,1012.1,1015.3,21.1,17.4,79,3.5,10,6.7,30,0.0,0.0,0.0,0.00,...,0,...
20,1012.4,1015.6,20.6,17.3,81,4.5,20,7.8,10,0.0,0.0,...,0.00,3.0,0,0.0
21,1012.5,1015.7,20.5,17.5,83,3.3,20,7.7,20,0.0,0.0,...,0.00,2.5,0,4.0
22,1012.7,1015.9,20.6,17.7,83,3.2,20,7.0,40,0.0,0.0,...,0.00,...,0,...
23,1012.2,1015.4,20.1,17.3,84,2.8,30,5.7,360,0.0,0.0,...,0.00,2.5,0,5.0
24,1012.3,1015.5,19.7,17.3,86,1.6,10,5.2,10,0.0,0.0,...,0.00,...,0,...
01,1012.2,1015.4,19.8,17.6,87,4.0,20,7.1,30,0.0,0.0,...,0.00,...,0,...
02,1011.6,1014.8,20.0,17.7,87,3.0,30,5.8,30,0.0,0.0,...,0.00,1.5,0,6.0
03,1011.1,1014.3,20.3,17.7,85,1.3,40,4.5,40,0.0,0.0,...,0.00,...,0,...
04,1010.9,1014.1,19.8,17.5,87,1.7,360,3.0,10,0.0,0.0,...,0.00,...,0,...
05,1011.6,1014.8,19.7,17.6,88,3.5,20,5.6,10,0.0,0.0,...,0.00,1.5,0,8.0
06,1011.8,1015.0,19.4,17.6,89,2.8,30,6.1,10,0.0,0.0,0.0,0.00,...,0,...
07,1011.7,1014.9,19.5,17.6,89,1.7,80,3.3,30,0.0,0.0,0.0,0.00,...,0,...
08,1012.1,1015.3,20.2,18.5,90,1.2,40,3.3,70,0.0,0.0,0.4,0.28,2.0,0,3.0
09,1012.2,1015.3,22.8,19.1,80,1.3,50,2.8,70,0.0,0.0,0.9,0.91,2.0,1,4.0
10,1012.2,1015.3,25.0,18.8,68,0.2,0,3.1,30,0.0,0.0,1.0,1.49,...,2,...
11,1011.6,1014.7,26.4,17.7,59,1.7,300,3.9,320,0.0,0.0,1.0,1.92,4.0,3,4.0
12,1010.7,1013.8,26.3,17.3,58,3.1,290,5.2,300,0.0,0.0,1.0,2.25,...,4,...
13,1009.9,1013.0,25.5,19.0,67,3.4,340,7.3,330,0.0,0.0,0.8,2.07,...,4,...
14,1008.9,1012.0,25.8,17.5,60,2.8,320,5.3,300,0.0,0.0,0.7,1.79,5.0,3,7.0
15,1008.5,1011.6,25.5,18.4,65,2.9,320,5.7,320,0.0,0.0,0.6,1.62,...,2,...
16,1008.5,1011.6,24.6,18.5,69,3.2,330,5.0,350,0.0,0.0,0.0,0.67,...,1,...
17,1009.1,1012.2,24.0,18.1,70,3.1,10,5.8,360,0.0,0.0,0.3,0.34,5.0,0,5.0
18,1009.7,1012.8,23.1,18.1,73,2.8,340,5.6,360,0.0,0.0,0.0,0.00,...,0,...
19,1009.9,1013.0,22.3,17.9,76,2.8,20,5.2,20,0.0,0.0,0.0,0.00,...,0,...
20,1010.1,1013.2,22.2,18.0,77,3.0,30,4.8,20,0.0,0.0,...,0.00,4.0,0,0.0
21,1010.2,1013.3,21.8,18.2,80,3.1,30,5.7,40,0.0,0.0,...,0.00,4.0,0,0.0
22,1010.4,1013.5,21.4,18.3,83,2.0,30,5.2,30,0.0,0.0,...,0.00,...,0,...
23,1010.4,1013.5,21.2,18.2,83,2.7,10,4.2,20,0.0,0.0,...,0.00,3.0,0,0.0
24,1010.6,1013.8,21.1,18.2,84,1.4,40,4.2,20,0.0,0.0,...,0.00,...,0,...
01,1010.2,1013.4,20.8,18.0,84,2.4,30,3.6,30,0.0,0.0,...,0.00,...,0,...
02,1009.8,1013.0,20.2,17.7,86,3.0,30,4.7,40,0.0,0.0,...,0.00,2.0,0,4.0
03,1009.4,1012.6,20.1,17.6,86,2.7,30,5.3,30,0.0,0.0,...,0.00,...,0,...
04,1009.3,1012.5,20.3,17.5,84,3.0,30,5.1,40,0.0,0.0,...,0.00,...,0,...
05,1009.5,1012.7,20.3,17.2,82,2.9,30,5.8,20,0.0,0.0,...,0.00,4.0,0,0.0
06,1009.9,1013.1,20.5,17.0,80,3.1,30,4.9,30,0.0,0.0,0.0,0.00,...,0,...
07,1010.5,1013.7,20.6,16.7,78,3.3,30,6.4,30,0.0,0.0,0.0,0.00,...,0,...
08,1010.8,1013.9,21.9,17.1,74,3.7,30,6.6,20,0.0,0.0,0.9,0.30,7.0,0,2.0
09,1011.3,1014.4,23.4,17.4,69,4.5,20,6.9,30,0.0,0.0,1.0,0.93,7.0,1,2.0
10,1011.4,1014.5,24.9,17.9,65,4.1,10,9.5,360,0.0,0.0,1.0,1.55,...,2,...
11,1010.9,1014.0,26.0,18.0,61,4.6,20,8.5,360,0.0,0.0,1.0,1.90,10.0,3,0.0
12,1009.7,1012.8,26.6,17.9,59,3.9,30,7.8,10,0.0,0.0,1.0,2.40,...,4,...
13,1008.4,1011.5,27.5,17.9,56,3.4,20,6.7,350,0.0,0.0,1.0,2.40,...,4,...
14,1007.6,1010.7,26.4,19.6,66,3.2,10,8.4,340,0.0,0.0,1.0,1.85,7.0,3,0.0
15,1007.4,1010.5,26.3,19.7,67,3.4,340,7.1,350,0.0,0.0,1.0,1.60,...,2,...
16,1007.6,1010.7,25.8,19.2,67,3.4,340,6.5,360,0.0,0.0,1.0,0.99,...,1,...
17,1008.2,1011.3,23.9,18.3,71,3.2,350,7.4,360,0.0,0.0,1.0,0.41,5.0,0,0.0
18,1009.0,1012.1,22.5,18.5,78,3.3,20,7.2,10,0.0,0.0,0.0,0.00,...,0,...
19,1010.1,1013.2,21.9,17.8,78,4.1,10,7.8,20,0.0,0.0,0.0,0.00,...,0,...
20,1010.5,1013.6,21.4,17.2,77,3.0,20,7.7,10,0.0,0.0,...,0.00,4.0,0,0.0
21,1011.0,1014.2,20.7,16.9,79,2.9,20,6.0,10,0.0,0.0,...,0.00,4.0,0,0.0
22,1011.6,1014.8,20.0,16.5,80,3.3,10,6.2,30,0.0,0.0,...,0.00,...,0,...
23,1011.3,1014.5,20.1,16.7,81,3.0,30,5.9,20,0.0,0.0,...,0.00,4.0,0,0.0
24,1010.6,1013.8,19.7,16.6,82,3.6,20,5.7,30,0.0,0.0,...,0.00,...,0,...
01,1010.7,1013.9,19.8,16.4,81,2.6,70,6.3,30,0.0,0.0,...,0.00,...,0,...
02,1010.6,1013.8,19.4,16.4,83,2.7,10,4.4,350,0.0,0.0,...,0.00,3.0,0,0.0
03,1010.5,1013.7,18.7,15.9,84,3.5,20,7.4,40,0.0,0.0,...,0.00,...,0,...
04,1010.7,1013.9,18.3,15.7,85,3.5,30,7.9,10,0.0,0.0,...,0.00,...,0,...
05,1011.2,1014.4,18.0,15.3,84,3.9,30,7.2,20,0.0,0.0,...,0.00,3.0,0,0.0
06,1012.0,1015.2,17.8,15.2,85,3.3,30,6.3,40,0.0,0.0,0.0,0.00,...,0,...
07,1012.5,1015.7,17.9,15.1,84,3.4,20,5.4,20,0.0,0.0,0.0,0.00,...,0,...
08,1013.2,1016.4,18.1,15.4,84,3.7,10,6.3,360,0.0,0.0,0.4,0.24,4.0,0,0.0
09,1014.1,1017.3,19.3,15.6,79,3.9,10,6.3,10,0.0,0.0,1.0,0.82,6.0,1,0.0
10,1014.1,1017.3,21.2,16.4,74,3.6,360,6.8,30,0.0,0.0,1.0,1.41,...,2,...
11,1013.3,1016.4,23.0,17.0,69,1.9,40,5.3,10,0.0,0.0,1.0,1.80,7.0,3,1.0
12,1012.3,1015.4,24.8,17.6,64,2.3,10,4.9,20,0.0,0.0,1.0,2.25,...,4,...
13,1011.2,1014.3,25.7,17.1,59,2.7,320,4.7,10,0.0,0.0,1.0,2.40,...,4,...
14,1010.3,1013.4,25.7,17.4,60,3.3,340,7.1,310,0.0,0.0,1.0,1.87,8.0,3,0.0
15,1010.2,1013.3,24.5,17.4,65,4.7,340,7.9,340,0.0,0.0,1.0,1.52,...,2,...
16,1010.8,1013.9,23.4,16.3,64,4.1,10,8.9,330,0.0,0.0,1.0,0.96,...,1,...
17,1011.6,1014.7,21.8,15.1,66,5.0,20,9.4,360,0.0,0.0,0.7,0.37,6.0,0,0.0
18,1012.1,1015.3,20.6,14.7,69,4.3,20,7.6,20,0.0,0.0,0.0,0.00,...,0,...
19,1013.1,1016.3,19.6,14.5,72,3.9,10,8.0,30,0.0,0.0,0.0,0.00,...,0,...
20,1013.7,1016.9,19.1,14.4,74,3.8,10,7.9,10,0.0,0.0,...,0.00,4.0,0,3.0
21,1013.9,1017.1,18.8,14.1,74,2.8,20,7.6,10,0.0,0.0,...,0.00,4.0,0,0.0
22,1014.1,1017.3,18.6,13.9,74,3.0,10,5.6,40,0.0,0.0,...,0.00,...,0,...
23,1014.4,1017.6,18.1,13.4,74,2.5,10,6.6,20,0.0,0.0,...,0.00,5.0,0,0.0
24,1014.2,1017.4,17.6,13.2,75,3.0,20,5.1,340,0.0,0.0,...,0.00,...,0,...
01,1014.1,1017.3,17.2,13.0,76,2.5,20,6.2,40,0.0,0.0,...,0.00,...,0,...
02,1013.7,1016.9,16.7,12.3,75,2.9,20,5.8,10,0.0,0.0,...,0.00,5.0,0,4.0
03,1013.5,1016.7,16.7,12.3,75,3.1,10,5.2,360,0.0,0.0,...,0.00,...,0,...
04,1013.6,1016.8,16.2,12.2,77,3.1,10,5.9,360,0.0,0.0,...,0.00,...,0,...
05,1013.9,1017.1,16.3,12.1,76,2.8,20,5.4,10,0.0,0.0,...,0.00,5.0,0,8.0
06,1014.8,1018.0,16.1,12.0,77,2.9,20,6.1,40,0.0,0.0,0.0,0.00,...,0,...
07,1015.2,1018.4,15.7,11.9,78,4.0,30,6.7,30,0.0,0.0,0.0,0.00,...,0,...
08,1016.1,1019.3,16.5,12.5,77,3.6,20,6.6,30,0.0,0.0,0.0,0.21,4.0,0,0.0
09,1016.9,1020.1,17.6,12.9,74,4.3,20,7.2,40,0.0,0.0,0.7,0.74,5.0,1,0.0
10,1017.0,1020.2,19.6,13.7,69,2.8,20,6.0,10,0.0,0.0,1.0,1.25,...,2,...
11,1016.3,1019.5,21.4,14.5,65,3.4,10,6.1,360,0.0,0.0,0.9,1.80,5.0,3,6.0
12,1015.3,1018.4,22.7,15.1,62,4.1,10,7.2,30,0.0,0.0,1.0,2.29,...,4,...
13,1014.2,1017.3,23.6,15.5,60,3.2,30,6.3,20,0.0,0.0,1.0,2.33,...,4,...
14,1013.4,1016.5,24.6,16.0,59,2.5,360,5.8,20,0.0,0.0,1.0,1.83,6.0,3,0.0
15,1013.1,1016.2,24.9,15.8,57,3.2,350,5.4,10,0.0,0.0,1.0,1.52,...,2,...
16,1013.4,1016.5,24.8,15.7,57,2.5,20,5.3,50,0.0,0.0,1.0,0.95,...,1,...
17,1014.0,1017.1,22.6,16.6,69,3.1,330,5.8,320,0.0,0.0,0.8,0.37,5.0,0,0.0
18,1014.3,1017.5,22.1,16.2,69,1.9,20,4.9,360,0.0,0.0,0.0,0.00,...,0,...
19,1015.1,1018.3,20.9,16.3,75,2.8,10,5.7,360,0.0,0.0,0.0,0.00,...,0,...
20,1015.7,1018.9,20.0,15.8,77,4.1,10,6.6,20,0.0,0.0,...,0.00,4.0,0,0.0
21,1016.2,1019.4,18.8,14.8,78,4.9,20,8.2,30,0.0,0.0,...,0.00,2.5,0,0.0
22,1016.5,1019.7,18.5,14.6,78,2.9,20,7.1,30,0.0,0.0,...,0.00,...,0,...
23,1016.3,1019.5,18.3,14.4,78,3.9,20,7.7,30,0.0,0.0,...,0.00,2.5,0,0.0
24,1015.8,1019.0,18.1,14.3,78,2.8,20,5.3,30,0.0,0.0,...,0.00,...,0,...
01,1015.5,1018.7,17.8,14.0,78,3.2,20,5.9,10,0.0,0.0,...,0.00,...,0,...
02,1014.9,1018.1,17.5,13.7,78,3.2,30,5.7,20,0.0,0.0,...,0.00,1.8,0,0.0
03,1014.8,1018.0,17.3,13.9,80,2.2,30,4.4,30,0.0,0.0,...,0.00,...,0,...
